name_kecamatan;wy;beta_1;beta_2
Kec. Andir;36,93229;2,512619;-21,3969
Kec. Antapani;43,46223;6,996589;-24,1166
Kec. Arcamanik;41,14742;5,307822;-26,5792
Kec. Astanaanyar;56,74219;4,632688;-24,3176
Kec. Babakan Ciparay;54,61069;10,00392;-27,4018
Kec. Bandung Kidul;52,09807;6,63571;-24,8063
Kec. Bandung Kulon;54,40373;5,313683;-26,2363
Kec. Bandung Wetan;59,29056;7,956137;-21,7028
Kec. Batununggal;55,5266;8,032869;-21,7109
Kec. Bojong Loa Kaler;55,55533;7,046012;-31,2543
Kec. Bojong Loa Kidul;55,49577;5,029236;-25,2043
Kec. Buahbatu;36,08742;11,36687;-32,725
Kec. Cibeunying Kaler;57,79907;9,354896;-30,0885
Kec. Cibeunying Kidul;56,16995;7,989708;-26,1719
Kec. Cibiru;47,75068;5,220166;-31,2855
Kec. Cicendo;60,30854;5,592586;-20,4461
Kec. Cidadap;58,24631;4,436861;-24,3201
Kec. Cinambo;51,00182;2,400269;-25,4135
Kec. Coblong;58,26825;7,855427;-23,1032
Kec. Gedebage;34,58973;6,453871;-26,7686
Kec. Kiaracondong;36,70185;8,170147;-26,7745
Kec. Lengkong;57,44982;6,39125;-20,2183
Kec. Mandalajati;0;0;0
Kec. Panyileukan;43,49578;5,03553;-25,6358
Kec. Rancasari;0;0;0
Kec. Regol;56,27299;8,69926;-22,5174
Kec. Sukajadi;58,90352;7,213397;-24,632
Kec. Sukasari;56,89673;6,290216;-24,7259
Kec. Sumur Bandung;59,9182;6,270913;-24,1169
Kec. Ujungberung;44,63589;6,521774;-23,6469
